Ticker,Description,Sector,Industry,Exchange
MAHLOG,MAHINDRA LOGISTICS,Transportation,Air Freight/Couriers,NSE
MAHSCOOTER,MAHARASHTRA SCOOT,Producer Manufacturing,Industrial Machinery,NSE
MAHSEAMLES,MAHARASHTRA SEAML,Non-Energy Minerals,Steel,NSE
MAITHANALL,MAITHAN ALLOYS LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
MALLCOM,MALLCOM (INDIA) LTD,Consumer Non-Durables,Apparel/Footwear,NSE
MALUPAPER,MALU PAPER MILLS,Process Industries,Pulp & Paper,NSE
MANAKALUCO,MANAKSIA ALUMINIUM,Non-Energy Minerals,Other Metals/Minerals,NSE
MANAKCOAT,MANAKSIA COATED ME,Non-Energy Minerals,Steel,NSE
MANAKSIA,MANAKSIA LTD,Non-Energy Minerals,Steel,NSE
MANAKSTEEL,MANAKSIA STEELS LTD,Non-Energy Minerals,Steel,NSE
MANALIPETC,MANALI PETROCHEMS,Process Industries,Chemicals: Specialty,NSE
MANAPPURAM,MANAPPURAM FINANCE,Finance,Finance/Rental/Leasing,NSE
MANGALAM,MANGALAM DRUGS & O,Health Technology,Pharmaceuticals: Major,NSE
MANGCHEFER,MANGALORE CHEMICAL,Process Industries,Chemicals: Agricultural,NSE
MANGLMCEM,MANGALAM CEMENT,Non-Energy Minerals,Construction Materials,NSE
MANINDS,MAN INDUSTRIES (IN,Producer Manufacturing,Industrial Machinery,NSE
MANINFRA,MAN INFRACONSTRUCT,Finance,Real Estate Development,NSE
MANOMAY,MANOMAY TEX INDIA LTD,Process Industries,Textiles,NSE
MANORAMA,MANORAMA INDUSTRIES LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
MANORG,MANGALAM ORGANICS LTD,Process Industries,Chemicals: Specialty,NSE
MANUGRAPH,MANUGRAPH INDIA LTD,Producer Manufacturing,Industrial Machinery,NSE
MANYAVAR,VEDANT FASHIONS LTD,Retail Trade,Internet Retail,NSE
MAPMYINDIA,C.E. INFO SYSTEMS LTD,Commercial Services,Miscellaneous Commercial Services,NSE
MARALOVER,MARAL OVERSEAS,Process Industries,Textiles,NSE
MARATHON,MARATHON NEXTGEN,Finance,Real Estate Development,NSE
MARICO,MARICO LTD,Consumer Non-Durables,Household/Personal Care,NSE
MARINE,MARINE ELECTRICAL (I) LTD,Distribution Services,Wholesale Distributors,NSE
MARKSANS,MARKSANS PHARMA LTD,Health Technology,Pharmaceuticals: Major,NSE
MARSHALL,MARSHALL MACHINES LTD,Producer Manufacturing,Industrial Machinery,NSE
MARUTI,MARUTI SUZUKI IND,Consumer Durables,Motor Vehicles,NSE
MASFIN,MAS FINANCIAL SERV,Finance,Finance/Rental/Leasing,NSE
MASKINVEST,MASK INVESTMENTS L,Finance,Financial Conglomerates,NSE
MASTEK,MASTEK,Technology Services,Information Technology Services,NSE
MATRIMONY,MATRIMONY COM LTD,Technology Services,Internet Software/Services,NSE
MAWANASUG,MAWANA SUGARS LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
MAXHEALTH,MAX HEALTHCARE INS LTD,Health Services,Hospital/Nursing Management,NSE
MAXIND,MAX INDIA LTD,Health Services,Medical/Nursing Services,NSE
MAXVIL,MAX VENTURES & IND,Process Industries,Containers/Packaging,NSE
MAYURUNIQ,MAYUR UNIQUOTERS L,Process Industries,Textiles,NSE
MAZDA,MAZDA LTD,Producer Manufacturing,Industrial Machinery,NSE
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
MBAPL,MADHYA BHARAT AGRO P. LTD,Process Industries,Chemicals: Agricultural,NSE
MBLINFRA,MBL INFRASTRUCTURE,Industrial Services,Engineering & Construction,NSE
MCDOWELL_N,UNITED SPIRITS,Consumer Non-Durables,Beverages: Alcoholic,NSE
MCL,MADHAV COPPER LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
MCLEODRUSS,MCLEOD RUSSEL INDI,Consumer Non-Durables,Food: Specialty/Candy,NSE
MCX,MULTI COMMODITY EX,Finance,Investment Banks/Brokers,NSE
MEDANTA,GLOBAL HEALTH LTD,Health Services,Hospital/Nursing Management,NSE
MEDICAMEQ,MEDICAMEN BIOTECH LTD,Health Technology,Pharmaceuticals: Major,NSE
MEDICO,MEDICO REMEDIES LTD,Health Technology,Pharmaceuticals: Major,NSE
MEDPLUS,MEDPLUS HEALTH SERV LTD,Retail Trade,Drugstore Chains,NSE
MEGASOFT,MEGASOFT LTD,Technology Services,Information Technology Services,NSE
MEGASTAR,MEGASTAR FOODS LTD,Process Industries,Agricultural Commodities/Milling,NSE
MELSTAR,MELSTAR INFORMATIO,Technology Services,Information Technology Services,NSE
MENONBE,MENON BEARINGS LTD,Producer Manufacturing,Metal Fabrication,NSE
MEP,MEP INFRASTRUCTURE,Transportation,Other Transportation,NSE
METALFORGE,METALYST FORGINGS,Producer Manufacturing,Auto Parts: OEM,NSE
METROBRAND,METRO BRANDS LTD,Retail Trade,Apparel/Footwear Retail,NSE
METROPOLIS,METROPOLIS HEALTHC,Health Services,Medical/Nursing Services,NSE
MFL,MEGHMANI FINECHEM LTD,Process Industries,Chemicals: Agricultural,NSE
MFSL,MAX FINANCIAL SERV,Finance,Life/Health Insurance,NSE
MGEL,MANGALAM GLOBAL ENT LTD,Process Industries,Agricultural Commodities/Milling,NSE
MGL,MAHANAGAR GAS LTD,Utilities,Gas Distributors,NSE
MHHL,MOHINI HEALTH & HY,Health Technology,Medical Specialties,NSE
MHLXMIRU,MAHALAXMI RUBTECH LTD,Process Industries,Industrial Specialties,NSE
MHRIL,MAHINDRA HOLIDAYS,Consumer Services,Other Consumer Services,NSE
MICEL,MIC ELECTRONICS LTD,Health Technology,Medical Specialties,NSE
MIDHANI,MISHRA DHATU NIGAM,Non-Energy Minerals,Other Metals/Minerals,NSE
MILTON,MILTON INDUSTRIES,Non-Energy Minerals,Forest Products,NSE
MINDACORP,MINDA CORP LTD,Producer Manufacturing,Auto Parts: OEM,NSE
MINDTECK,MINDTECK(INDIA),Technology Services,Information Technology Services,NSE
MIRCELECTR,MIRC ELECTRONICS,Electronic Technology,Telecommunications Equipment,NSE
MIRZAINT,MIRZA INTERNATIONA,Consumer Non-Durables,Apparel/Footwear,NSE
MITCON,MITCON CON,Commercial Services,Miscellaneous Commercial Services,NSE
MITTAL,MITTAL LIFE STYLE,Process Industries,Textiles,NSE
MMFL,M.M. FORGINGS,Producer Manufacturing,Metal Fabrication,NSE
MMP,MMP INDUSTRIES LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
MMTC,MMTC,Distribution Services,Wholesale Distributors,NSE
MODIRUBBER,MODI RUBBER,Consumer Durables,Automotive Aftermarket,NSE
MODISONLTD,MODISON LTD,Industrial Services,Engineering & Construction,NSE
MOHITIND,MOHIT INDUSTRIES,Process Industries,Textiles,NSE
MOIL,MOIL LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
MOKSH,MOKSH ORNAMENTS LTD,Consumer Durables,Other Consumer Specialties,NSE
MOL,MEGHMANI ORGANICS LTD,Process Industries,Chemicals: Specialty,NSE
MOLDTECH,MOLD-TEK TECHNOLO,Industrial Services,Engineering & Construction,NSE
MOLDTKPAC,MOLD-TEK PACKAGING,Producer Manufacturing,Miscellaneous Manufacturing,NSE
MONARCH,MONARCH NETWORTH CAP LTD,Finance,Investment Banks/Brokers,NSE
MONTECARLO,MONTE CARLO FASHIO,Consumer Non-Durables,Apparel/Footwear,NSE
MORARJEE,MORARJEE TEXTILES,Process Industries,Textiles,NSE
MOREPENLAB,MOREPEN LABORATORI,Health Technology,Pharmaceuticals: Major,NSE
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,Producer Manufacturing,Auto Parts: OEM,NSE
MOTILALOFS,MOTILAL OSWAL FINA,Finance,Investment Banks/Brokers,NSE
MOTOGENFIN,MOTOR & GEN FINANC,Finance,Real Estate Development,NSE
MPHASIS,MPHASIS LTD,Technology Services,Packaged Software,NSE
MPSLTD,MPS LTD,Consumer Services,Publishing: Books/Magazines,NSE
MRF,MRF LTD,Consumer Durables,Automotive Aftermarket,NSE
MRO_TEK,MRO-TEK REALTY LTD,Electronic Technology,Electronic Production Equipment,NSE
MRPL,MANGALORE REF &PET,Energy Minerals,Oil Refining/Marketing,NSE
MSPL,MSP STEEL & POWER,Non-Energy Minerals,Steel,NSE
MSTCLTD,MSTC LTD,Retail Trade,Internet Retail,NSE
MSUMI,MOTHERSON SUMI WRNG IND L,Producer Manufacturing,Auto Parts: OEM,NSE
MTARTECH,MTAR TECHNOLOGIES LTD,Electronic Technology,Aerospace & Defense,NSE
MTEDUCARE,MT EDUCARE LTD,Consumer Services,Other Consumer Services,NSE
MTNL,MAHANAGAR TELEP NI,Communications,Major Telecommunications,NSE
MUKANDLTD,MUKAND,Non-Energy Minerals,Steel,NSE
MUKTAARTS,MUKTA ARTS,Technology Services,Packaged Software,NSE
MUNJALAU,MUNJAL AUTO INDUST,Producer Manufacturing,Auto Parts: OEM,NSE
MUNJALSHOW,MUNJAL SHOWA,Producer Manufacturing,Auto Parts: OEM,NSE
MURUDCERA,MURUDESHWAR CERAMI,Producer Manufacturing,Building Products,NSE
MUTHOOTCAP,MUTHOOT CAPITAL SE,Finance,Finance/Rental/Leasing,NSE
MUTHOOTFIN,MUTHOOT FINANCE LTD,Finance,Finance/Rental/Leasing,NSE
MWL,MANGALAM WORLDWIDE,Non-Energy Minerals,Steel,NSE
NACLIND,NACL INDUSTRIES LTD,Process Industries,Chemicals: Agricultural,NSE
NAGAFERT,NAGARJUNA FERTILIZ,Process Industries,Chemicals: Agricultural,NSE
NAGREEKCAP,NAGREEKA CAPITAL &,Finance,Investment Banks/Brokers,NSE
NAGREEKEXP,NAGREEKA EXPORTS,Process Industries,Textiles,NSE
NAHARCAP,NAHAR CAPITAL AND,Finance,Investment Managers,NSE
NAHARINDUS,NAHAR IND ENTERPRI,Process Industries,Textiles,NSE
NAHARPOLY,NAHAR POLY FILMS,Process Industries,Textiles,NSE
NAHARSPING,NAHAR SPINNING,Process Industries,Textiles,NSE
NAM_INDIA,NIPPON L I A M LTD,Finance,Investment Managers,NSE
NARMADA,NARMADA AGROBASE LTD,Process Industries,Agricultural Commodities/Milling,NSE
NATCOPHARM,NATCO PHARMA LTD,Health Technology,Pharmaceuticals: Major,NSE
NATHBIOGEN,NATH BIO-GENES (IN,Process Industries,Agricultural Commodities/Milling,NSE
NATIONALUM,NATIONAL ALUMINUM,Non-Energy Minerals,Aluminum,NSE
NATNLSTEEL,NATIONAL STEEL & A,Non-Energy Minerals,Steel,NSE
NAUKRI,INFO EDGE,Technology Services,Internet Software/Services,NSE
NAVA,NAVA LTD,Utilities,Electric Utilities,NSE
NAVINFLUOR,NAVIN FLUORINE INT,Process Industries,Chemicals: Specialty,NSE
NAVKARCORP,NAVKAR CORPORATION,Transportation,Other Transportation,NSE
NAVNETEDUL,NAVNEET EDUCATION,Producer Manufacturing,Office Equipment/Supplies,NSE
NAZARA,NAZARA TECHNOLOGIES LTD,Technology Services,Packaged Software,NSE
NBCC,NBCC (INDIA) LTD,Commercial Services,Miscellaneous Commercial Services,NSE
NBIFIN,N.B.I. INDUSTRIAL,Finance,Financial Conglomerates,NSE
NCC,NCC LTD,Consumer Durables,Homebuilding,NSE
NCLIND,NCL INDUSTRIES,Non-Energy Minerals,Construction Materials,NSE
NDGL,NAGA DHUNSERI GROU,Finance,Financial Conglomerates,NSE
NDL,NANDAN DENIM LTD,Process Industries,Textiles,NSE
NDRAUTO,NDR AUTO COMPONENTS LTD,Producer Manufacturing,Auto Parts: OEM,NSE
NDTV,NEW DELHI TELEVISI,Consumer Services,Broadcasting,NSE
NECCLTD,NORTH EASTERN CARR,Transportation,Trucking,NSE
NECLIFE,NECTAR LIFESCIENCE,Health Technology,Pharmaceuticals: Major,NSE
NELCAST,NELCAST LTD,Non-Energy Minerals,Steel,NSE
NELCO,NELCO,Electronic Technology,Electronic Production Equipment,NSE
NEOGEN,NEOGEN CHEMICALS,Process Industries,Chemicals: Specialty,NSE
NESCO,NESCO LTD,Producer Manufacturing,Industrial Machinery,NSE
NESTLEIND,NESTLE INDIA,Consumer Non-Durables,Food: Major Diversified,NSE
NETWORK18,NETWORK 18 MEDIA,Consumer Services,Broadcasting,NSE
NEULANDLAB,NEULAND LABORITIE,Health Technology,Pharmaceuticals: Major,NSE
NEWGEN,NEWGEN SOFTWARE,Technology Services,Packaged Software,NSE
NEXTMEDIA,NEXT MEDIAWORKS LTD,Consumer Services,Broadcasting,NSE
NFL,NATIONAL FERTI.LTD,Process Industries,Chemicals: Agricultural,NSE
NGIL,NAKODA GROUP OF IND. LTD,Consumer Non-Durables,Food: Specialty/Candy,NSE
NGLFINE,NGL FINE CHEM LTD,Health Technology,Pharmaceuticals: Major,NSE
NH,NARAYANA HRUDAYALA,Health Services,Hospital/Nursing Management,NSE
NHPC,NHPC LTD,Utilities,Electric Utilities,NSE
NIACL,THE NEW INDIA ASSU,Finance,Multi-Line Insurance,NSE
NIBL,NRB INDUSTRIAL BEA,Producer Manufacturing,Metal Fabrication,NSE
NIDAN,NIDAN LABORATORIES,Health Services,Medical/Nursing Services,NSE
NIITLTD,NIIT,Commercial Services,Miscellaneous Commercial Services,NSE
NILAINFRA,NILA INFRASTRUCTUR,Industrial Services,Engineering & Construction,NSE
NILASPACES,NILA SPACES LTD,Consumer Durables,Homebuilding,NSE
NILKAMAL,NILKAMAL LTD,Consumer Durables,Home Furnishings,NSE
NINSYS,NINTEC SYSTEMS LTD,Technology Services,Packaged Software,NSE
NIPPOBATRY,INDO NATIONAL LTD,Producer Manufacturing,Electrical Products,NSE
NIRAJ,NIRAJ CEMENT STRUC LTD,Industrial Services,Engineering & Construction,NSE
NITCO,NITCO LTD,Producer Manufacturing,Building Products,NSE
NITINSPIN,NITIN SPINNERS LTD,Process Industries,Textiles,NSE
NITIRAJ,NITIRAJ ENGINEERS LTD,Electronic Technology,Electronic Equipment/Instruments,NSE
NKIND,NK INDUSTRIES,Process Industries,Agricultural Commodities/Milling,NSE
NLCINDIA,NLC INDIA LTD,Utilities,Electric Utilities,NSE
NMDC,NMDC LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
NOCIL,NOCIL LTD,Process Industries,Chemicals: Specialty,NSE
NOIDATOLL,NOIDA TOLL BRIDGE,Commercial Services,Advertising/Marketing Services,NSE
NORBTEAEXP,NORBEN TEA & EXPOR,Consumer Non-Durables,Food: Specialty/Candy,NSE
NOVARTIND,NOVARTIS INDIA,Health Technology,Pharmaceuticals: Major,NSE
NPST,NETWORK PEOPLE SER,Technology Services,Packaged Software,NSE
NRAIL,NR AGARWAL IND,Process Industries,Containers/Packaging,NSE
NRBBEARING,NRB BEARINGS,Producer Manufacturing,Auto Parts: OEM,NSE
NRL,NUPUR RECYCLERS LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
NSIL,NALWA SONS INVEST,Finance,Financial Conglomerates,NSE
NSLNISP,NMDC STEEL LTD,Non-Energy Minerals,Steel,NSE
NTPC,NTPC LTD,Utilities,Electric Utilities,NSE
NUCLEUS,NUCLEUS SOFTWARE,Technology Services,Information Technology Services,NSE
NURECA,NURECA LTD,Health Technology,Medical Specialties,NSE
NUVOCO,NUVOCO VISTAS CORP LTD,Non-Energy Minerals,Construction Materials,NSE
NXTDIGITAL,NXTDIGITAL LTD,Consumer Services,Cable/Satellite TV,NSE
NYKAA,FSN E COMMERCE VENTURES,Retail Trade,Internet Retail,NSE
OAL,ORIENTAL AROMATICS LTD,Process Industries,Chemicals: Specialty,NSE
OBCL,ORISSA BENGAL CARRIER LTD,Transportation,Trucking,NSE
OBEROIRLTY,OBEROI REALTY LTD,Finance,Real Estate Development,NSE
OCCL,ORIENTAL CARB & CH,Process Industries,Chemicals: Specialty,NSE
OFSS,ORACLE FIN SERVICE,Technology Services,Packaged Software,NSE
OIL,OIL INDIA LTD,Energy Minerals,Oil Refining/Marketing,NSE
OILCOUNTUB,OIL COUNTRY TUBULR,Industrial Services,Oilfield Services/Equipment,NSE
OLECTRA,OLECTRA GREENTECH,Consumer Durables,Motor Vehicles,NSE
OMAXAUTO,OMAX AUTOS LTD,Producer Manufacturing,Auto Parts: OEM,NSE
OMAXE,OMAXE LTD,Finance,Real Estate Development,NSE
OMINFRAL,OM INFRA LTD,Industrial Services,Engineering & Construction,NSE
ONELIFECAP,ONELIFE CAPITAL AD,Finance,Financial Conglomerates,NSE
ONEPOINT,ONE POINT ONE SOLU,Commercial Services,Miscellaneous Commercial Services,NSE
ONGC,OIL & NATURAL GAS,Energy Minerals,Oil Refining/Marketing,NSE
ONMOBILE,ONMOBILE GLOBAL LTD,Communications,Specialty Telecommunications,NSE
ONWARDTEC,ONWARD TECHNO,Technology Services,Information Technology Services,NSE
OPTIEMUS,OPTIEMUS INFRACOM,Distribution Services,Electronics Distributors,NSE
ORBTEXP,ORBIT EXPORTS LTD,Process Industries,Textiles,NSE
ORCHPHARMA,ORCHID PHARMA LTD,Health Technology,Pharmaceuticals: Major,NSE
ORICONENT,ORICON ENTERPRISES,Producer Manufacturing,Miscellaneous Manufacturing,NSE
ORIENTABRA,ORIENT ABRASIVES,Non-Energy Minerals,Aluminum,NSE
ORIENTALTL,ORIENTAL TRIMEX,Non-Energy Minerals,Construction Materials,NSE
ORIENTBELL,ORIENT BELL LTD,Producer Manufacturing,Building Products,NSE
ORIENTCEM,ORIENT CEMENT LTD,Non-Energy Minerals,Construction Materials,NSE
ORIENTELEC,ORIENT ELECTRIC LTD,Consumer Durables,Electronics/Appliances,NSE
ORIENTHOT,ORIENTAL HOTELS,Consumer Services,Hotels/Resorts/Cruise lines,NSE
ORIENTLTD,ORIENT PRESS LTD,Process Industries,Containers/Packaging,NSE
ORIENTPPR,ORIENT PAPER & IND,Process Industries,Pulp & Paper,NSE
ORISSAMINE,ORISSA MINERALS DE,Non-Energy Minerals,Steel,NSE
ORTINLAB,ORTIN LABORATORIES LTD,Health Technology,Pharmaceuticals: Major,NSE
OSIAHYPER,OSIA HYPER RETAIL LTD,Retail Trade,Food Retail,NSE
OSWALAGRO,OSWAL AGRO MILLS,Finance,Real Estate Development,NSE
OSWALSEEDS,SHREEOSWAL S AND CHE LTD,Process Industries,Agricultural Commodities/Milling,NSE
PAGEIND,PAGE INDUSTRIES LTD,Consumer Non-Durables,Apparel/Footwear,NSE
PAISALO,PAISALO DIGITAL LTD,Finance,Finance/Rental/Leasing,NSE
PALASHSECU,PALASH SECURITIES,Consumer Non-Durables,Food: Specialty/Candy,NSE
PALREDTEC,PALRED TECHNOLOGIE,Distribution Services,Electronics Distributors,NSE
PANACEABIO,PANACEA BIOTEC LTD,Health Technology,Pharmaceuticals: Major,NSE
PANACHE,PANACHE DIGILIFE LTD,Electronic Technology,Computer Peripherals,NSE
PANAMAPET,PANAMA PETROCHEM L,Process Industries,Industrial Specialties,NSE
PANSARI,PANSARI DEVELOPERS LTD,Technology Services,Packaged Software,NSE
PAR,PAR DRUGS AND CHEM LTD,Process Industries,Chemicals: Specialty,NSE
PARACABLES,PARAMOUNT COMMUNIC,Producer Manufacturing,Electrical Products,NSE
PARADEEP,PARADEEP PHOSPHATES LTD,Process Industries,Chemicals: Agricultural,NSE
PARAGMILK,PARAG MILK FOODS,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE
PARAS,PARAS DEF AND SPCE TECH L,Electronic Technology,Aerospace & Defense,NSE
PARASPETRO,PARAS PETROFILS LTD,Process Industries,Textiles,NSE
PARSVNATH,PARSVNATH DEVELOPE,Finance,Real Estate Development,NSE
PARTYCRUS,PARTY CRUISERS LTD,Consumer Services,Other Consumer Services,NSE
PASUPTAC,PASUPATI ACRYLON LTD,Process Industries,Textiles,NSE
PATANJALI,PATANJALI FOODS LTD,Process Industries,Agricultural Commodities/Milling,NSE
PATELENG,PATEL ENGINEERING,Industrial Services,Engineering & Construction,NSE
PATINTLOG,PATEL INTEGRATED L,Transportation,Other Transportation,NSE
PAYTM,ONE 97 COMMUNICATIONS LTD,Technology Services,Packaged Software,NSE
PCBL,PCBL LTD,Process Industries,Industrial Specialties,NSE
PCJEWELLER,PC JEWELLER LTD,Consumer Durables,Other Consumer Specialties,NSE
PDMJEPAPER,PUDUMJEE PAPER PRO,Process Industries,Pulp & Paper,NSE
PDSL,PDS LTD,Consumer Non-Durables,Apparel/Footwear,NSE
PEARLPOLY,PEARL POLYMERS,Process Industries,Containers/Packaging,NSE
PEL,PIRAMAL ENTERPRISE,Finance,Investment Managers,NSE
PENIND,PENNAR INDUSTRIES,Non-Energy Minerals,Steel,NSE
PENINLAND,PENINSULA LAND LTD,Finance,Real Estate Development,NSE
PERFECT,PERFECT INFRAENGIN,Consumer Services,Other Consumer Services,NSE
PERSISTENT,PERSISTENT SYSTEMS,Technology Services,Information Technology Services,NSE
PETRONET,PETRONET LNG,Utilities,Gas Distributors,NSE
PFC,POWER FINANCE CORP,Finance,Finance/Rental/Leasing,NSE
PFIZER,PFIZER LTD,Health Technology,Pharmaceuticals: Major,NSE
PFOCUS,PRIME FOCUS,Consumer Services,Movies/Entertainment,NSE
PFS,PTC INDIA FINANCIA,Finance,Finance/Rental/Leasing,NSE
PGEL,PG ELECTROPLAST LTD,Electronic Technology,Electronic Production Equipment,NSE
PGHH,PROCTER&GAMBLE IND,Consumer Non-Durables,Household/Personal Care,NSE
PGHL,PROCTER & GAMBLE HEALTH L,Health Technology,Pharmaceuticals: Major,NSE
PGIL,PEARL GLOBAL INDUS,Consumer Non-Durables,Apparel/Footwear,NSE
PGINVIT,POWERGRID INFRA. INVITS,Utilities,Electric Utilities,NSE
PHANTOMFX,PHANTOM DIGITAL EF,Consumer Services,Movies/Entertainment,NSE
PHOENIXLTD,PHOENIX MILLS,Finance,Real Estate Development,NSE
PIDILITIND,PIDILITE INDUSTRIE,Process Industries,Industrial Specialties,NSE
PIGL,POWER & INSTRUMENT,Industrial Services,Engineering & Construction,NSE
PIIND,PI INDUSTRIES,Process Industries,Chemicals: Specialty,NSE
PILANIINVS,PILANI INVESTMENT,Finance,Financial Conglomerates,NSE
PILITA,PIL ITALICA LIFEST,Producer Manufacturing,Miscellaneous Manufacturing,NSE
PIONEEREMB,PIONEER EMBROID LTD,Consumer Non-Durables,Apparel/Footwear,NSE
PITTIENG,PITTI ENGINEERING,Producer Manufacturing,Industrial Machinery,NSE
PIXTRANS,PIX TRANSMISSIONS LTD,Producer Manufacturing,Miscellaneous Manufacturing,NSE
PKTEA,PERIA KARAMALAI TE,Process Industries,Agricultural Commodities/Milling,NSE
PLASTIBLEN,PLASTIBLENDS INDIA,Process Industries,Chemicals: Major Diversified,NSE
PNB,PUNJAB NATL BANK,Finance,Major Banks,NSE
PNBGILTS,PNB GILTS,Finance,Investment Banks/Brokers,NSE
PNBHOUSING,PNB HOUSING,Finance,Finance/Rental/Leasing,NSE
PNC,PRITISH NANDY COMM,Consumer Services,Movies/Entertainment,NSE
PNCINFRA,PNC INFRATECH LTD,Industrial Services,Engineering & Construction,NSE
POCL,PONDY OXIDES & CHEM LTD,Non-Energy Minerals,Other Metals/Minerals,NSE
PODDARHOUS,PODDAR HOUSING AND,Finance,Real Estate Development,NSE
PODDARMENT,PODDAR PIGMENTS,Process Industries,Industrial Specialties,NSE
POKARNA,POKARNA LTD,Producer Manufacturing,Building Products,NSE
POLICYBZR,PB FINTECH LTD,Technology Services,Internet Software/Services,NSE
POLYCAB,POLYCAB INDIA LTD,Producer Manufacturing,Electrical Products,NSE
POLYMED,POLY MEDICURE LTD,Health Technology,Medical Specialties,NSE
POLYPLEX,POLYPLEX CORP,Process Industries,Chemicals: Specialty,NSE
PONNIERODE,PONNI SUGARS ERODE,Process Industries,Agricultural Commodities/Milling,NSE
POONAWALLA,POONAWALLA FINCORP LTD,Finance,Finance/Rental/Leasing,NSE
POWERGRID,POWER GRID CORP,Utilities,Alternative Power Generation,NSE
POWERINDIA,HITACHI ENERGY IND,Electronic Technology,Electronic Equipment/Instruments,NSE
POWERMECH,POWER MECH PROJECT,Industrial Services,Engineering & Construction,NSE
PPAP,PPAP AUTOMOTIVE LTD,Producer Manufacturing,Auto Parts: OEM,NSE
PPLPHARMA,PIRAMAL PHARMA LTD,Health Technology,Pharmaceuticals: Major,NSE
PRAENG,PRAJAY ENGINEERS S,Consumer Durables,Homebuilding,NSE
PRAJIND,PRAJ INDUSTRIES,Industrial Services,Engineering & Construction,NSE
PRAKASH,PRAKASH INDUSTRIES,Non-Energy Minerals,Steel,NSE
PRAKASHSTL,PRAKASH STEELAGE,Non-Energy Minerals,Steel,NSE
PRAXIS,PRAXIS HOME RETAIL,Retail Trade,Specialty Stores,NSE
PRECAM,PRECISION CAMSHAF,Producer Manufacturing,Auto Parts: OEM,NSE
PRECISION,PRECISION METALIKS,Non-Energy Minerals,Aluminum,NSE
PRECOT,PRECOT LTD,Process Industries,Textiles,NSE
PRECWIRE,PRECISION WIRES IN,Producer Manufacturing,Electrical Products,NSE
PREMEXPLN,PREMIER EXPLOSIVES,Process Industries,Chemicals: Specialty,NSE
PREMIER,PREMIER LTD,Producer Manufacturing,Industrial Machinery,NSE
PREMIERPOL,PREMIER POLYFILM L,Non-Energy Minerals,Forest Products,NSE
PRESSMN,PRESSMAN ADVERTISI,Commercial Services,Advertising/Marketing Services,NSE
PRESTIGE,PRESTIGE ESTATES P,Finance,Real Estate Development,NSE
PRICOLLTD,PRICOL LTD,Producer Manufacturing,Auto Parts: OEM,NSE
PRIMESECU,PRIME SECURITIES,Finance,Investment Banks/Brokers,NSE
PRINCEPIPE,PRINCE PIPES FITTINGS LTD,Producer Manufacturing,Industrial Machinery,NSE
PRITI,PRITI INTERNATIONAL LTD,Consumer Durables,Home Furnishings,NSE
PRITIKA,PRITIKA ENGINEERIN,Producer Manufacturing,Auto Parts: OEM,NSE
PRITIKAUTO,PRITIKA AUTO INDUS LTD,Producer Manufacturing,Auto Parts: OEM,NSE
PRIVISCL,PRIVI SPECIALITY CHE LTD,Process Industries,Chemicals: Major Diversified,NSE
PROPEQUITY,P. E. ANALYTICS PR,Technology Services,Internet Software/Services,NSE
PROZONINTU,PROZONE INTU PROPE,Finance,Real Estate Development,NSE
PRSMJOHNSN,PRISM JOHNSON LTD,Non-Energy Minerals,Construction Materials,NSE
PRUDENT,PRUDENT CORP ADV SER LTD,Finance,Investment Managers,NSE
PSB,PUNJAB & SIND BANK,Finance,Major Banks,NSE
PSPPROJECT,PSP PROJECTS LTD,Industrial Services,Engineering & Construction,NSE
PTC,PTC INDIA LTD,Utilities,Electric Utilities,NSE
PTL,PTL ENTERPRISES LTD,Finance,Real Estate Development,NSE
PULZ,PULZ ELECTRONICS,Consumer Durables,Electronics/Appliances,NSE
PUNJABCHEM,PUNJAB CHEM&CROP,Process Industries,Chemicals: Agricultural,NSE
PURVA,PURAVANKARA LTD,Finance,Real Estate Development,NSE
PVP,PVP VENTURES LTD,Technology Services,Information Technology Services,NSE
PVR,PVR LTD,Consumer Services,Movies/Entertainment,NSE
QMSMEDI,QMS MEDICAL ALLIED,Distribution Services,Medical Distributors,NSE
QUADPRO,QUADPRO ITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE
QUESS,QUESS CORP LTD,Commercial Services,Personnel Services,NSE
QUICKHEAL,QUICK HEAL TECHNOL,Technology Services,Packaged Software,NSE
RADAAN,RADAAN MEDIAWORKS,Consumer Services,Movies/Entertainment,NSE
RADHIKAJWE,RADHIKA JEWELTECH LTD,Consumer Durables,Other Consumer Specialties,NSE
RADIANTCMS,RADIANT CASH MGMT SER LTD,Commercial Services,Miscellaneous Commercial Services,NSE
RADICO,RADICO KHAITAN,Consumer Non-Durables,Beverages: Alcoholic,NSE
